Conference_name,Speaker,Attendee_list,conference_date,conference_llocation
Shawnee Community College,"[{""first_name"":""Marty"",""last_name"":""Rawkesby"",""NPI"":""3498470523""}]","[{""first_name"":""Harry"",""last_name"":""Braundt"",""NPI"":""6696640363""},{""first_name"":""Marla"",""last_name"":""Trueman"",""NPI"":""4610275910""},{""first_name"":""Nate"",""last_name"":""Laidlow"",""NPI"":""0822837102""}]",7/24/2019,Quibal
Private Hanseuniversität,"[{""first_name"":""Kenneth"",""last_name"":""Colliford"",""NPI"":""0704371235""}]","[{""first_name"":""Tedmund"",""last_name"":""Peckham"",""NPI"":""3274698784""},{""first_name"":""Devlen"",""last_name"":""Ordidge"",""NPI"":""8050037738""},{""first_name"":""Germana"",""last_name"":""Calway"",""NPI"":""8050700925""},{""first_name"":""Davon"",""last_name"":""Culbert"",""NPI"":""9658191053""},{""first_name"":""Camille"",""last_name"":""Aicheson"",""NPI"":""8451353029""}]",10/28/2018,San Francisco
Universidad Nacional de Tumbes,"[{""first_name"":""Carlene"",""last_name"":""Kunzel"",""NPI"":""3412254525""}]","[{""first_name"":""Vaughan"",""last_name"":""Aldwich"",""NPI"":""7440411498""},{""first_name"":""Henrietta"",""last_name"":""Vasilechko"",""NPI"":""1504447093""},{""first_name"":""Ursala"",""last_name"":""Lyokhin"",""NPI"":""0597646872""},{""first_name"":""Milzie"",""last_name"":""Vanacci"",""NPI"":""4701872040""}]",1/14/2019,Shayuan
Universidade Federal de Viçosa,"[{""first_name"":""Chloette"",""last_name"":""Dureden"",""NPI"":""4054702856""}]","[{""first_name"":""Napoleon"",""last_name"":""Kittel"",""NPI"":""6620574920""},{""first_name"":""Gipsy"",""last_name"":""Jeannon"",""NPI"":""3363262787""},{""first_name"":""Berne"",""last_name"":""Vears"",""NPI"":""0268243751""}]",9/16/2019,Mantingantengah
Guangxi University for Nationalities,"[{""first_name"":""Clive"",""last_name"":""Broschke"",""NPI"":""0258695528""}]","[{""first_name"":""Ursula"",""last_name"":""Addington"",""NPI"":""9709431773""},{""first_name"":""Merralee"",""last_name"":""Bebb"",""NPI"":""3486136194""},{""first_name"":""Raynell"",""last_name"":""Morin"",""NPI"":""9106007465""},{""first_name"":""Beckie"",""last_name"":""Le Leu"",""NPI"":""0631463429""}]",2/19/2019,Al Kittah
Law University of Bratislava,"[{""first_name"":""Jeniece"",""last_name"":""Cornelius"",""NPI"":""6129417713""}]","[{""first_name"":""Avivah"",""last_name"":""Gligoraci"",""NPI"":""6297715769""},{""first_name"":""Garold"",""last_name"":""Gimbrett"",""NPI"":""7428180848""},{""first_name"":""Ivan"",""last_name"":""Corsar"",""NPI"":""7711023774""}]",7/22/2019,Arraial do Cabo
Great Zimbabwe University,"[{""first_name"":""Yardley"",""last_name"":""Ownsworth"",""NPI"":""5458603362""}]","[{""first_name"":""Ernest"",""last_name"":""Gisborne"",""NPI"":""1164206443""},{""first_name"":""Viole"",""last_name"":""Lundberg"",""NPI"":""0291190146""},{""first_name"":""Vilma"",""last_name"":""Kelmere"",""NPI"":""6434187122""}]",10/9/2019,Solna
Firat (Euphrates) University,"[{""first_name"":""Filmore"",""last_name"":""Alexsandrowicz"",""NPI"":""4975961342""}]","[{""first_name"":""Milka"",""last_name"":""Shadfourth"",""NPI"":""9593022589""},{""first_name"":""Opal"",""last_name"":""Scandrite"",""NPI"":""5303068692""},{""first_name"":""Hedy"",""last_name"":""Jeffcock"",""NPI"":""2815783886""},{""first_name"":""Sheffie"",""last_name"":""Marr"",""NPI"":""9655010953""}]",8/19/2019,Numazu
Catholic University in Zimbabwe,"[{""first_name"":""Brett"",""last_name"":""Vaugham"",""NPI"":""8904255325""}]","[{""first_name"":""Pren"",""last_name"":""Dunkerly"",""NPI"":""7397425801""},{""first_name"":""Conan"",""last_name"":""Fewkes"",""NPI"":""0969075561""},{""first_name"":""Chantalle"",""last_name"":""Obeney"",""NPI"":""3517223859""},{""first_name"":""Mireielle"",""last_name"":""Vahl"",""NPI"":""9293736535""}]",1/14/2019,Myaydo
Universidad Nacional de General Sarmiento,"[{""first_name"":""Augy"",""last_name"":""Blick"",""NPI"":""1346802653""}]","[{""first_name"":""Bartlett"",""last_name"":""MacAree"",""NPI"":""4194367707""},{""first_name"":""Shayne"",""last_name"":""Merrydew"",""NPI"":""9041868070""},{""first_name"":""Kat"",""last_name"":""Caslake"",""NPI"":""5082488562""},{""first_name"":""Tab"",""last_name"":""Thowless"",""NPI"":""0784719691""}]",1/6/2019,Thành Phố Nam Định
Caldwell College,"[{""first_name"":""Lauree"",""last_name"":""Saffer"",""NPI"":1283066823}]","[{""first_name"":""Sarene"",""last_name"":""Zebedee"",""NPI"":""5497157297""},{""first_name"":""Prent"",""last_name"":""Kops"",""NPI"":""2612135855""},{""first_name"":""Marianna"",""last_name"":""Ternault"",""NPI"":""8881136856""}]",2/23/2019,Sępólno Krajeńskie
King Abdul Aziz University,"[{""first_name"":""Hedy"",""last_name"":""Jeffcock"",""NPI"":""2815783886""}]","[{""first_name"":""Petronille"",""last_name"":""Bahike"",""NPI"":""8786548263""},{""first_name"":""Morley"",""last_name"":""Zimmer"",""NPI"":""3528589825""},{""first_name"":""Audra"",""last_name"":""Brookz"",""NPI"":""4757153597""}]",6/4/2019,Bojonglarang
Universitas Swadaya Gunung Djati,"[{""first_name"":""Ly"",""last_name"":""MacVicar"",""NPI"":""8735784962""}]","[{""first_name"":""Afton"",""last_name"":""Quayle"",""NPI"":""6676168707""},{""first_name"":""Ferdie"",""last_name"":""Ayliffe"",""NPI"":""8070771984""},{""first_name"":""Maurine"",""last_name"":""Purveys"",""NPI"":""0062980343""},{""first_name"":""Prent"",""last_name"":""Kops"",""NPI"":""2612135855""}]",10/26/2018,Gujiadian
Centro de Estudios Universitarios Xochicalco,"[{""first_name"":""Ranee"",""last_name"":""Febre"",""NPI"":""9052994528""}]","[{""first_name"":""Malva"",""last_name"":""Jansky"",""NPI"":""1719757712""},{""first_name"":""Charla"",""last_name"":""Deniseau"",""NPI"":""8741084446""},{""first_name"":""Deidre"",""last_name"":""Ruhben"",""NPI"":""7220040350""},{""first_name"":""Dodi"",""last_name"":""Greim"",""NPI"":""2624383247""}]",3/7/2019,Tanguiéta
Bankura University,"[{""first_name"":""Michel"",""last_name"":""Prandi"",""NPI"":""7049246921""}]","[{""first_name"":""Colby"",""last_name"":""Moylan"",""NPI"":""9437787751""},{""first_name"":""Marylinda"",""last_name"":""Jacquemard"",""NPI"":""9535618334""},{""first_name"":""Arlie"",""last_name"":""Kezar"",""NPI"":""5336862274""},{""first_name"":""Nisse"",""last_name"":""Mutton"",""NPI"":""2815572060""},{""first_name"":""Chuck"",""last_name"":""Tingle"",""NPI"":""7344445298""}]",10/23/2018,Leuwipicung
Anhui University of Traditional Chinese Medicine,"[{""first_name"":""Breanne"",""last_name"":""Scemp"",""NPI"":""5340844811""}]","[{""first_name"":""Neils"",""last_name"":""Sturridge"",""NPI"":""5546574046""},{""first_name"":""Valencia"",""last_name"":""Winchcum"",""NPI"":""3037443618""},{""first_name"":""Gerianna"",""last_name"":""Pley"",""NPI"":""6577885192""},{""first_name"":""Mildrid"",""last_name"":""Tapp"",""NPI"":""1670762823""},{""first_name"":""Briano"",""last_name"":""Barthelet"",""NPI"":""9985719786""}]",3/25/2019,Seongnam-si
Herzen State Pedagogical University of Russia,"[{""first_name"":""Bone"",""last_name"":""Perigo"",""NPI"":""8298837126""}]","[{""first_name"":""Terencio"",""last_name"":""Astell"",""NPI"":""6851194791""},{""first_name"":""Trude"",""last_name"":""Boick"",""NPI"":""7542302124""},{""first_name"":""Rosemaria"",""last_name"":""Logesdale"",""NPI"":""5772835807""},{""first_name"":""Jackie"",""last_name"":""Cobbin"",""NPI"":""5068277177""}]",5/25/2019,Al Mughayyir
Worcester State College,"[{""first_name"":""Nisse"",""last_name"":""Mutton"",""NPI"":""2815572060""}]","[{""first_name"":""Laetitia"",""last_name"":""Fulham"",""NPI"":""9503188946""},{""first_name"":""Marti"",""last_name"":""Rogeron"",""NPI"":""1270474286""},{""first_name"":""Egon"",""last_name"":""Griffitts"",""NPI"":""1944404163""},{""first_name"":""Lorain"",""last_name"":""Reavey"",""NPI"":""0281625514""}]",1/31/2019,Cikondang
Walter Sisulu University for Technology and Science,"[{""first_name"":""Walker"",""last_name"":""Learoid"",""NPI"":""9635954115""}]","[{""first_name"":""Gay"",""last_name"":""Dominetti"",""NPI"":""3840583284""},{""first_name"":""Claudianus"",""last_name"":""Egle"",""NPI"":""5188682893""},{""first_name"":""Gusty"",""last_name"":""Tippin"",""NPI"":""2061416837""},{""first_name"":""Christabel"",""last_name"":""Muehle"",""NPI"":""2635326207""}]",8/19/2019,Linjiang
Southeastern University,"[{""first_name"":""Michell"",""last_name"":""Crutchley"",""NPI"":""4445162957""}]","[{""first_name"":""Jobey"",""last_name"":""Lage"",""NPI"":""1535680156""},{""first_name"":""Bee"",""last_name"":""Koppeck"",""NPI"":""4539616102""},{""first_name"":""Lorain"",""last_name"":""Reavey"",""NPI"":""0281625514""}]",6/23/2019,Tambulig
Institute of Commerce and Business,"[{""first_name"":""Laurena"",""last_name"":""Braidman"",""NPI"":""0359962181""}]","[{""first_name"":""Sally"",""last_name"":""Lewinton"",""NPI"":""4032957991""},{""first_name"":""Madeleine"",""last_name"":""Legonidec"",""NPI"":""3069708528""},{""first_name"":""Arlie"",""last_name"":""Kezar"",""NPI"":""5336862274""},{""first_name"":""Corine"",""last_name"":""Rumens"",""NPI"":""4933821461""},{""first_name"":""Maressa"",""last_name"":""Clarkin"",""NPI"":""9598638693""}]",11/6/2018,Gueset
