first_name,last_name,NPI,school_name,graduation_year,degree
Rusty,Clunan,8697450756,University of Development Alternative,ryouel0@foxnews.com,M.D.
Carly,Toll,2099272956,Escola Superior de Artes e Design,lslaughter1@trellian.com,M.D.
Rania,Dot,4901848194,Saint Paul University,dwhiffin2@redcross.org,M.D.
Deck,Jiggen,8548026855,Symbiosis International University,jfenech3@wikimedia.org,M.D.
Karlik,Lackinton,3953606786,Abfi Institute Perbanas Jakarta,jkubis4@fc2.com,M.D.
Gherardo,Perigeaux,7210385843,Ming Chuan University,mcare5@blogs.com,M.D.
Geraldine,Coate,4529860833,Addis Ababa University,kclapp6@yahoo.co.jp,M.D.
Pollyanna,Rathborne,9392991037,Bluefield College,kswyne7@squidoo.com,M.D.
Laurel,Tomisch,4584282374,Armenian State University of Economics,acovell8@springer.com,M.D.
Torre,Burth,4961943819,Technical University of Koszalin,bmcquaid9@ovh.net,M.D.
Fraser,Andrioli,8140640816,Mandhu College,acopcotea@pcworld.com,M.D.
Lauree,Saffer,1283066823,Uttar Pradesh Technical University,rkerryb@chron.com,M.D.
Orton,Alvin,2261946848,Wageningen University,gfladgatec@list-manage.com,M.D.
Manya,Banfield,1334014582,Hiroshima City University,bworselld@yandex.ru,M.D.
Evaleen,Stuehmeier,8497158482,African Virtual University,asheeree@twitpic.com,M.D.
Grethel,Benoix,2799293735,Universiti Industri Selangor,hkyllfordf@guardian.co.uk,M.D.
Aron,Peris,4762755419,Life University,sundrellg@twitter.com,M.D.
Kyle,Desbrow,3500222013,Tokyo Engineering University,bcoyetth@desdev.cn,M.D.
Aeriel,Golborne,0306248255,"University of Vlora ""Ismail Qemali""",jmcvaughi@posterous.com,M.D.
Nancey,Cadamy,3570762793,Université de Provence (Aix-Marseille I),podonovanj@sakura.ne.jp,M.D.
Marga,Dyball,2624705767,Università Pontifcia Salesiana,afotheringhamk@google.com.au,M.D.
Michell,Crutchley,4445162957,Gratz College,chigbinl@sciencedirect.com,M.D.
Jonell,Casaccia,6989816260,Griffith University,vhardisonm@meetup.com,M.D.
Alard,Ripsher,7168740733,Matsuyama University,lamisn@google.ru,M.D.
Matthieu,Ofener,7469272615,Dominion College,ggrestyo@bloglovin.com,M.D.
Deb,Winnard,8744723539,King's College,vpardyp@smh.com.au,M.D.
Cayla,Hesse,2154956785,Moscow State University M.V. Lomonosov,kwindressq@gov.uk,M.D.
Massimo,Durban,9024129249,Universidad Católica de Santa Fé,kdumbletonr@nsw.gov.au,M.D.
Erl,Arkwright,6943013432,Universidad Femenina del Sagrado Corazón,usanchess@epa.gov,M.D.
Melvyn,Rihosek,4697857933,International East-European University,ghazeldinet@phoca.cz,M.D.
Ulric,Soper,2873377070,Zhanjiang Ocean University,ckivelleu@tinypic.com,M.D.
Kaitlynn,Millwall,8244981873,Walla Walla College,nradbornev@theatlantic.com,M.D.
Rivy,Clawson,2861511761,University of Agriculture Abeokuta,sgatfieldw@kickstarter.com,M.D.
Marylinda,Jacquemard,9535618334,Shaoguan University,bguiux@twitpic.com,M.D.
Ramonda,Schapero,4617162100,Cambridge College,sotteridgey@gnu.org,M.D.
Charmane,Fowler,1155276051,Lenoir-Rhyne College,bparoniz@woothemes.com,M.D.
Keenan,Devin,2854079868,University of Veterinary & Animal Science,eamerighi10@mayoclinic.com,M.D.
Ava,Corns,8008421177,American University of Sharjah,rfitkin11@yelp.com,M.D.
Xaviera,Rubee,1537349686,University of Commerce Luigi Bocconi,emclenaghan12@alexa.com,M.D.
Brana,Jacks,6274740864,Chongqing Technology and Business University,awatts13@google.pl,M.D.
Elmira,Barrowcliff,4555770706,Universiti Tunku Abdul Rahman,shames14@oakley.com,M.D.
Meg,Wallach,1857504992,Ambrose Alli University,tvennings15@about.me,M.D.
Jeanette,D'Ambrogi,5095812967,Seneca College,lbeacom16@unesco.org,M.D.
Kris,Kestle,0244857490,Naruto University of Education,dlinnell17@godaddy.com,M.D.
Tabby,Riceards,4273602318,Kanto Gakuin University,sprobart18@pinterest.com,M.D.
Pierre,Trineman,6683286191,Indiana University - Southeast,lbravington19@mapy.cz,M.D.
Kerry,Teek,0857205943,Universidad de Cuautitlan Izcalli,lweston1a@vistaprint.com,M.D.
Jerrold,Althrope,1609004205,University of Southern Queensland,lbridgewood1b@ed.gov,M.D.
Lily,Alabone,7534473918,Jatiya Kabi Kazi Nazrul Islam University,kbeckitt1c@prweb.com,M.D.
Justen,Crossdale,1335498311,Université du Sahel,ageistbeck1d@nsw.gov.au,M.D.
Dorise,Dabourne,0134892658,Perm State University,plockyear1e@forbes.com,M.D.
Kalvin,Gantlett,5145803443,Huron University College,mpashen1f@vk.com,M.D.
Daniella,Martynikhin,2332419470,Sheffield Hallam University,spettipher1g@feedburner.com,M.D.
Adham,Broome,5206690554,Widener University,acrowder1h@yahoo.co.jp,M.D.
Aileen,Fisk,5364249271,Georg-Simon-Ohm-Fachhochschule Nürnberg,gwallman1i@clickbank.net,M.D.
Madeleine,Legonidec,3069708528,Universidad Santa María Campus Guayaquil,gsheward1j@sphinn.com,M.D.
Reggie,Storks,9689424033,University of Electro-Communications,kallmond1k@imdb.com,M.D.
Shanan,Kelcher,4135071937,Universidad de Antioquía,eiacopo1l@i2i.jp,M.D.
Kelsey,Darco,2255021978,Fachhochschule Wiesbaden,lmacklam1m@smugmug.com,M.D.
Augustin,Baack,5178491114,Freie Kunst-Studienstätte Ottersberg,cbuckthought1n@taobao.com,M.D.
Kat,Marking,4426041805,Freie Kunst-Studienstätte Ottersberg,hdowner1o@cnbc.com,M.D.
Ferris,Miko,6388276458,Universidad de las Regiones Autónomas de la Costa Caribe Nicaragüense,mkevlin1p@mediafire.com,M.D.
Clarinda,Kellaway,4561212906,European University Cyprus,cgarrand1q@smh.com.au,M.D.
Sibella,Mullen,2583540181,Kagoshima University,kkeady1r@jugem.jp,M.D.
Stephanus,Shobbrook,1277357870,Wesleyan University Philippines,aoddboy1s@ebay.co.uk,M.D.
Harcourt,Mulvin,8662872735,Hanzehogeschool Groningen,esloane1t@desdev.cn,M.D.
Tuckie,Lewendon,9902823335,Marathwada Agricultural University,dnoice1u@narod.ru,M.D.
Kim,Biermatowicz,2613282886,Ohio State University - Mansfield,nvanleijs1v@canalblog.com,M.D.
Davidson,Dumbleton,2983494160,Qingdao University of Science and Technology,rswinnard1w@ftc.gov,M.D.
Rick,Jeffs,5435385431,Alhosn University,lkillford1x@linkedin.com,M.D.
Horatia,Westman,9869563791,China Medical College,bwykes1y@nsw.gov.au,M.D.
Donielle,Crat,1366590058,"Troy University, Troy",amcevon1z@cdc.gov,M.D.
Mort,Stannett,6098052913,Azad Jammu and Kashmir University,sthorneywork20@europa.eu,M.D.
Biron,Bohlsen,7064671387,University of Debrecen ,blanston21@arizona.edu,M.D.
Giselle,Raiman,0813028183,Northern Lights College,kedinborough22@etsy.com,M.D.
Malorie,Wynrehame,3506219146,Baze University Abuja,nchittock23@google.nl,M.D.
Nealon,Eustis,3682510400,New Mexico State University,malabaster24@cpanel.net,M.D.
Dav,Bottjer,7667532974,Banat's University of Agricultural Sciences,mriley25@g.co,M.D.
Joaquin,Seedman,1796503207,Soochow University,cmacmoyer26@imdb.com,M.D.
Andros,Jansens,9258141458,Universidad de Puerto Rico,tfrederick27@tinyurl.com,M.D.
Elle,Cleyne,3488533972,Cochin University of Science and Technology,awebling28@indiegogo.com,M.D.
Niels,Casellas,7061151757,Universitas Kristen Satya Wacana,btiery29@ftc.gov,M.D.
Shanda,Fasham,8082475544,Ryutsu Keizai University,tkobu2a@epa.gov,M.D.
Trude,Boick,7542302124,St Clements University - Higher Education School,crizzo2b@sakura.ne.jp,M.D.
Henrietta,Vasilechko,1504447093,Great Lakes Christian College,bgoodboddy2c@sun.com,M.D.
Herman,Norquay,9020719610,"New York Academy of Art, Graduate School of Figurative Art",msneesby2d@blogspot.com,M.D.
Eirena,Caramuscia,8258849352,National Tainan Teachers College,jdahlback2e@angelfire.com,M.D.
Alysia,Grennan,3126374158,Kabul Education University,heschalotte2f@apple.com,M.D.
Fritz,Bunney,1349060569,University of Rijeka,lkivlehan2g@nasa.gov,M.D.
Andrei,Truder,7758980430,Hilbert College,dmcfadin2h@ox.ac.uk,M.D.
Hamel,Blesli,1219236861,Université Louis Pasteur (Strasbourg I),wgent2i@patch.com,M.D.
Darb,Fullard,6551327125,Southern Illinois University at Edwardsville,njude2j@ask.com,M.D.
Iseabal,Siely,1944138749,National Hualien Teachers College,sdugget2k@msu.edu,M.D.
Alyse,Finnimore,0168984695,Universidad Nacional de Quilmes,wmusselwhite2l@wikipedia.org,M.D.
Alonso,Oakenfall,8422000008,Hyogo College of Medicine,enissle2m@mtv.com,M.D.
Jourdan,Danslow,7877397348,Luther College,cbrundle2n@google.it,M.D.
Burg,Handrock,3921977835,St. Mary's College of California,dacosta2o@usnews.com,M.D.
Nicholas,Kaygill,3866821786,IASE (Institute of Advanced Studies) Deemed University,xebbins2p@cafepress.com,M.D.
Amerigo,Vreede,6193009574,Maryam Institute of Higher Education,lvasyukov2q@dmoz.org,M.D.
Dosi,Cobain,2339174686,Universidad Particular Inca Garcilaso de la Vega,iletham2r@goo.ne.jp,M.D.
Burnard,Plott,0198817665,Schreiner College,bcurman2s@myspace.com,M.D.
Mathilda,Olufsen,7216000161,Nkumba University,mmackessock2t@house.gov,M.D.
Anatol,Kesteven,0371853672,"Fachhochschule Nürtingen, Hochschule für Wirtschaft, Landwirtschaft und Landespflege",wcronk2u@cnn.com,M.D.
Hattie,Joblin,9048573203,Azzahra University,bgilpin2v@cmu.edu,M.D.
Lorain,Reavey,0281625514,University of Bolton,mkelberer2w@pinterest.com,M.D.
Boothe,Silverthorne,1419558978,Western Oregon University,bspellesy2x@oaic.gov.au,M.D.
Mariann,Haitlie,3214812874,Pontifcia Università Urbaniana,gbatts2y@timesonline.co.uk,M.D.
Chance,Currer,1303879697,Kiev National University of Construction and Architecture,atulley2z@smh.com.au,M.D.
Ranee,Van der Velde,3529719129,Al Fashir University,jbartosek30@ovh.net,M.D.
Veronica,Dilnot,8184237006,Universität Hildesheim,lbengough31@ning.com,M.D.
Myrtice,Clues,0482292237,Universidad Nuevo Mundo,dlennard32@intel.com,M.D.
Quinn,Challiner,5529429394,University of Wisconsin - Whitewater,bburless33@stanford.edu,M.D.
Marcelo,Rodolphe,9492357747,Universidad Tecnológica de El Salvador,clainton34@washingtonpost.com,M.D.
Steffane,Bamb,5377996526,Tashkent Islam University,adurgan35@diigo.com,M.D.
Letisha,Rohloff,0885049578,Kharkiv State Transport Technical University,dmizzi36@geocities.jp,M.D.
Sheffie,Marr,9655010953,Ndejje University,ebarmadier37@sohu.com,M.D.
Marti,Rogeron,1270474286,Qom University,gmerdew38@ted.com,M.D.
Patrizio,Durnall,0239419383,Pedagogical University of Kielce,fmckyrrelly39@tripadvisor.com,M.D.
Nelly,Zipsell,5725541533,Wesleyan College,jmacswayde3a@usda.gov,M.D.
Marty,Rawkesby,3498470523,Seigakuin University,mmatyushenko3b@lulu.com,M.D.
Wynnie,Kirckman,6770935260,Sher-E-Kashmir University of Agricultural Sciences and Technology,cbalderson3c@mail.ru,M.D.
Carlie,Breese,5143994675,College of Technology at Kharj,vbarnewell3d@pbs.org,M.D.
Christie,McCluskey,8728427270,Takamatsu University,dstill3e@census.gov,M.D.
Ardeen,Kingsley,6677892670,Anhui University,jcowland3f@shutterfly.com,M.D.
Hyacinthe,Vickery,0589084259,State University of Management,jfrancklyn3g@cmu.edu,M.D.
Tessi,Villa,2381338020,Universidad La Republica,kgresch3h@stanford.edu,M.D.
Viole,Lundberg,0291190146,University of the Visayas,dnorridge3i@icq.com,M.D.
Chickie,Chivers,7366119644,Universidade Metropolitana de Santos,gantonat3j@amazon.de,M.D.
Ellette,Pass,2693293162,University of Mustansiriyah,lnaris3k@webmd.com,M.D.
Marybeth,Strooband,8203876080,Université de Djibouti,devetts3l@pcworld.com,M.D.
Welsh,Giannotti,1950337383,University of Kabianga,swines3m@wikia.com,M.D.
Tab,Thowless,0784719691,"Islamic Azad University, Roodehen",pmarland3n@ask.com,M.D.
Archy,Westrope,4868118390,Gombe State University,lslowan3o@microsoft.com,M.D.
Nora,Sweedy,9882809901,Yamanashi Gakuin University,eboddam3p@adobe.com,M.D.
Valentin,Coplestone,6314554896,Art Academy of Cincinnati,ldobie3q@dailymotion.com,M.D.
Lea,Coulman,0647118076,Manonmaniam Sundaranar University,arepp3r@ucsd.edu,M.D.
Daune,Strong,7803902359,University of Mkar,mblinde3s@wired.com,M.D.
Krishna,McElhinney,9415188421,Fine Arts Academy in Poznan,rdonaghy3t@linkedin.com,M.D.
Sharia,Blincowe,6727825513,Princess Sumaya University for Technology,psprigin3u@auda.org.au,M.D.
Norah,Torricina,6818637140,Soonchunhyang University,jleet3v@google.com.au,M.D.
Lettie,Trewhitt,1049760247,Medizinische Universität Graz,arodliff3w@prlog.org,M.D.
Ferne,Marfield,3696044180,"Birkbeck College, University of London",rdutton3x@businessweek.com,M.D.
Meredith,McElwee,5538486591,Cross River University of Science and Technology,rstapylton3y@vk.com,M.D.
Dodi,Greim,2624383247,Ecole Superieure des Télécommunications,amacknockiter3z@uol.com.br,M.D.
Ray,Beningfield,6421369235,Finnmark University College,tfallowfield40@instagram.com,M.D.
Constanta,Pardey,5559792225,Worcester Polytechnic Institute,oceney41@rakuten.co.jp,M.D.
Gates,Van der Beken,4320089642,Universidad Privada del Valle,mparlett42@ed.gov,M.D.
Tobie,Hayesman,6501681073,Dhaka University of Engineering and Technology,rjerome43@theguardian.com,M.D.
Bryanty,Hovenden,6369977764,Khabarovsk State Academy of Economics and Law,sreddings44@businessinsider.com,M.D.
Milka,Shadfourth,9593022589,Engineering Faculty of Asian University,hmcavinchey45@sbwire.com,M.D.
Augy,Blick,1346802653,Galway Mayo Institute of Technology,sescudier46@addtoany.com,M.D.
Dagny,Blenkinsop,3914514949,Kurukshetra University,mcapenor47@umich.edu,M.D.
Jourdan,Lampkin,8610712737,Alpha Omega University,hgalton48@oracle.com,M.D.
Terencio,Astell,6851194791,University of San Agustin,sbrosoli49@newyorker.com,M.D.
Karisa,Yuryshev,2871961360,Hebei United University,rrichardsson4a@deviantart.com,M.D.
Hirsch,Collihole,8132014618,Ritsumeikan University,emaccrie4b@vinaora.com,M.D.
Damiano,Matchett,9054754559,Third University of Rome,nkunneke4c@1688.com,M.D.
Jenny,Pilgrim,0536506000,Huron University College,toxx4d@nytimes.com,M.D.
Trixie,Shoosmith,0814026133,Universidad Autónoma de Veracruz Villa Rica,srubinowicz4e@lulu.com,M.D.
Federico,Van,5299571720,Pathumthani University,kmateiko4f@elegantthemes.com,M.D.
Vaughan,Aldwich,7440411498,University Goce Delcev,ebadini4g@senate.gov,M.D.
Lucine,Measom,8082389370,St. Anthony College of Nursing,hson4h@scribd.com,M.D.
Redford,Mallabon,6383124242,Uzima University College ,obrisley4i@sbwire.com,M.D.
Agnes,Terbeck,9588089719,Syrian Virtual University,edurdy4j@geocities.jp,M.D.
Kiri,McCorley,0082427135,"University of California, Riverside",ofaherty4k@oakley.com,M.D.
Ivan,Fludder,1951772644,Holy Angel University,mschoolcroft4l@webnode.com,M.D.
Wenona,Gall,2336637022,Ecole Polytechnique,mlaverock4m@cbc.ca,M.D.
